Institution,2018,2019,2020
Algoma,85.10%,87.00%,85.50%
Brock,91.90%,94.30%,90.10%
Carleton,90.30%,89.80%,85.90%
Guelph,92.00%,92.00%,86.20%
Hearst,80.00%,x,91.70%
Lakehead,93.60%,93.20%,87.80%
Laurentian,95.50%,93.60%,92.80%
McMaster,92.30%,91.90%,86.60%
Nipissing,96.00%,96.60%,96.00%
OCADU,79.70%,77.90%,65.00%
Ottawa,94.00%,92.90%,90.10%
Queens,94.40%,94.20%,92.90%
Toronto Metropolitan,90.70%,88.30%,80.40%
Toronto,88.90%,87.40%,81.80%
Trent,90.40%,92.00%,88.70%
Ontario Tech,87.70%,86.90%,84.50%
Waterloo,91.90%,91.30%,87.10%
Western,92.50%,92.20%,88.80%
Wilfrid Laurier,92.60%,92.50%,89.00%
Windsor,89.40%,89.60%,87.90%
York,88.60%,85.40%,82.30%
Province,91.20%,90.40%,86.20%
